OBJECTID,Catchment,Comments,DATALOAD,Diameter,Estim_Year,Install_Year,Invert_DN,Invert_UP,Manhole_Down,Manhole_Up,Material,Pipe_Bursted,RefAuto,Relined,Sewer_ID,Sewer_Type,Slope,Total_Length,Original_Material,Original_Diameter,Original_Install_Year,SHAPE.len,_SEWERNAME
5423804,5,was 11115387; ID changed b/c new MH5691 was installed in 2012 (2012 sewer separation program; 146-49-PP1-3.dwg; PP3),20170309201124,300,0,1973,0,0,5387,5691,PVC,No,10324,No,56915387,STM,0,17.05999947,PVC,300,1973,17.0560282598265,STORM
5423805,5, ,20170309201124,450,0,1973,0,0,5391,5387,CONC,No,10323,No,53875391,STM,0,71.31999969,CONC,450,1973,71.3213698690652,STORM
5423806,5, ,20170309201124,450,0,1973,0,0,5390,5391,CONC,No,10322,No,53915390,STM,0,76.80000305,CONC,450,1973,83.6941166045141,STORM
5423807,1,,20170309201124,300,0,1973,0,0,5390,1111,PVC,No,10321,No,11115390,STM,0,14.31999969,PVC,300,1973,14.7763778217126,STORM
5423808,5, ,20170309201124,450,0,1973,0,0,5389,5390,CONC,No,10320,No,53905389,STM,0,47.52999878,CONC,450,1973,40.6266403263918,STORM
5423809,5, ,20170309201124,450,0,1973,0,0,5402,5389,CONC,No,10319,No,53895402,STM,0,76.19999695,CONC,450,1973,76.1997388446968,STORM
5423810,5, ,20170309201124,300,0,1980,0,0,5396,5395,PVC,No,10318,No,53955396,STM,0,72.23000336,PVC,300,1980,72.2317880160806,STORM
5423811,5, ,20170309201124,250,0,1980,0,0,5399,5400,PVC,No,10317,No,54005399,STM,0,13.71000004,PVC,250,1980,13.710390220559,STORM
5423812,5, ,20170309201124,250,0,1980,0,0,5396,5399,PVC,No,10316,No,53995396,STM,0,54.56000137,PVC,250,1980,54.5572831633871,STORM
5423813,5, ,20170309201124,300,0,1980,0,0,5402,5396,PVC,No,10314,No,53965402,STM,0,61.86999893,PVC,300,1980,61.8733965448803,STORM
5423814,5, ,20170309201124,250,0,1973,0,0,5248,5252,PVC,No,10313,No,52525248,STM,0,75.27999878,PVC,250,1973,75.271381015629,STORM
5423815,5, ,20170309201124,450,0,1973,0,0,5238,5249,CONC,No,10312,No,52495238,STM,0,108.80999756,CONC,450,1973,108.816290140769,STORM
5423816,5,,20170309201124,250,0,1990,0,0,5240,5241,PVC,No,10311,No,52415240,STM,0,99.97000122,PVC,250,1990,99.9713343914144,STORM
5423817,5, ,20170309201124,250,0,1990,0,0,5239,5240,PVC,No,10310,No,52405239,STM,0,10.05000019,PVC,250,1990,10.0545412625341,STORM
5423818,5, ,20170309201124,250,0,1973,0,0,5238,5239,PVC,No,10309,No,52395238,STM,0,23.77000046,PVC,250,1973,23.762737636897,STORM
5423819,5, ,20170309201124,525,0,1973,0,0,5237,5238,CONC,No,10308,No,52385237,STM,0,3.3499999,CONC,525,1973,3.35089540272447,STORM
5423820,5, ,20170309201124,525,0,1973,0,0,5236,5237,CONC,No,10307,No,52375236,STM,0,55.77000046,CONC,525,1973,55.7620390588436,STORM
5423821,5, ,20170309201124,750,0,1973,0,0,5017,5236,CONC,No,10306,No,52365017,STM,0,60.41999817,CONC,750,1973,60.417624084368,STORM
5423822,5, ,20170309201124,750,0,1971,0,0,5274,5281,CONC,No,10305,No,52815274,STM,0,108.48000336,CONC,750,1971,108.482091148724,STORM
5423823,5, ,20170309201124,750,0,1971,0,0,5270,5274,CONC,No,10304,No,52745270,STM,0,112.16000366,CONC,750,1971,112.154211690868,STORM
